CPU_Freq,CPU_Cores,FPS_Avg,FPS_Min,FPS_Max,Total_Time
1800,0-3,1.34,0.00,2.25,10.35
1800,0-1,1.36,0.00,2.26,10.18
1800,0,0.73,0.00,1.19,19.28
1700,0-3,1.35,0.00,2.24,10.44
1700,0-1,1.33,0.00,2.24,10.39
1700,0,0.67,0.00,1.11,20.66
1600,0-3,1.24,0.00,2.05,11.20
1600,0-1,1.25,0.00,2.08,11.15
1600,0,0.65,0.00,1.07,21.47
1500,0-3,1.19,0.00,2.01,11.62
1500,0-1,1.19,0.00,1.96,11.74
1500,0,0.60,0.00,1.00,23.08
1400,0-3,1.17,0.00,1.92,12.04
1400,0-1,1.15,0.00,1.92,12.25
1400,0,0.56,0.00,0.95,24.56
1300,0-3,1.11,0.00,1.85,12.38
1300,0-1,1.09,0.00,1.83,12.82
1300,0,0.53,0.00,0.91,25.87
1200,0-3,0.98,0.00,1.67,14.11
1200,0-1,1.01,0.00,1.67,13.92
1200,0,0.49,0.00,0.83,28.21
1100,0-3,0.91,0.00,1.56,15.26
1100,0-1,0.95,0.00,1.61,15.10
1100,0,0.46,0.00,0.76,30.43
1000,0-3,0.88,0.00,1.45,16.14
1000,0-1,0.86,0.00,1.41,16.19
1000,0,0.42,0.00,0.70,33.09
900,0-3,0.87,0.00,1.44,16.12
900,0-1,0.79,0.00,1.31,17.79
900,0,0.40,0.00,0.66,34.95
800,0-3,0.70,0.00,1.16,19.93
800,0-1,0.72,0.00,1.19,19.61
800,0,0.38,0.00,0.64,36.41
700,0-3,0.64,0.00,1.06,21.76
700,0-1,0.64,0.00,1.07,22.23
700,0,0.38,0.00,0.64,36.59
600,0-3,0.57,0.00,0.95,24.52
600,0-1,0.58,0.00,0.96,24.78
600,0,0.36,0.00,0.61,38.66
